x,Curve1,lambda(nm),energy(eV),QE(%),QE(calib)
226.36,0.77419,226.36,5.477292808,5.945522131,5.567273947
242.22,0.95161,242.22,5.118652465,8.945610816,8.376499985
259.66,1.1371,259.66,4.774859432,13.7119746,12.83963246
286.56,1.27419,286.56,4.326633166,18.80139181,17.60526603
319.74,1.34677,319.74,3.877650591,22.2213275,20.80762882
357.65,1.37097,357.65,3.466629386,23.4947052,21.99999551
393.96,1.37097,393.96,3.147121535,23.4947052,21.99999551
431.85,1.34677,431.85,2.870996874,22.2213275,20.80762882
469.72,1.29839,469.72,2.639529933,19.87879248,18.61412354
502.84,1.20161,502.84,2.465674966,15.90779552,14.89575745
529.63,1.06452,529.63,2.340955006,11.60165643,10.86357063
539.08,0.99194,539.08,2.299918379,9.816123189,9.191631229
561.12,0.83065,561.12,2.209580838,6.770956131,6.34019466
579.99,0.65323,579.99,2.137692029,4.500181189,4.213884153
598.87,0.47581,598.87,2.070299063,2.990955834,2.800674209
617.73,0.25806,617.73,2.007090476,1.811590356,1.696338786
630.29,0.06452,630.29,1.967094512,1.160165643,1.086357063
638.13,-0.06452,638.13,1.94292699,0.861945884,0.807109747
647.53,-0.25806,647.53,1.914722098,0.552001172,0.516883408
656.92,-0.45968,656.92,1.887353102,0.34699243,0.324917118
664.74,-0.65323,664.74,1.865150284,0.222213275,0.208076288
672.56,-0.85484,672.56,1.84346378,0.13968829,0.13080146
681.95,-1.07258,681.95,1.818080504,0.08460967,0.079226887
691.34,-1.26613,691.34,1.793386756,0.054183867,0.050736743
